FID,osmid,POINT_X,POINT_Y
521,84845383,-82.364663,29.652057
522,84845384,-82.365174,29.652179
523,84845385,-82.365323,29.652198
524,84845388,-82.365564,29.652228
525,84845389,-82.36571,29.652236
526,84845392,-82.366368,29.65224
527,84845394,-82.367288,29.652234
528,84845397,-82.3697912,29.6522395
529,84845398,-82.3708604,29.6522709
530,84845400,-82.3712079,29.652265
531,84845402,-82.3717782,29.6522138
532,84845404,-82.3723284,29.6521702
533,84845407,-82.3726323,29.6521292
534,84848370,-82.333767,29.62575
535,84849470,-82.334304,29.6519432
536,84849471,-82.3343134,29.6511532
537,84850435,-82.3336244,29.6287183
538,84850437,-82.3339895,29.6283604
539,84850438,-82.3340777,29.6282167
540,84850440,-82.3341609,29.6279803
541,84850443,-82.3341919,29.6276427
542,84850445,-82.334079,29.626617
543,84850446,-82.3339677,29.6260907
544,84850448,-82.3338416,29.6258715
545,84850449,-82.333649,29.625628
546,84850972,-82.3417942,29.6526231
547,84850973,-82.3426731,29.652628
548,84850995,-82.3353737,29.6366112
549,84851260,-82.369774,29.651879
550,84851261,-82.369775,29.651375
551,84851262,-82.369789,29.650492
552,84851263,-82.3697896,29.650395
553,84851613,-82.335543,29.655703
554,84852270,-82.3336574,29.645733
555,84852271,-82.3350192,29.6457419
556,84852274,-82.3370849,29.6457428
557,84852318,-82.333654,29.645441
558,84852632,-82.3506944,29.6304887
559,84852633,-82.350723,29.630436
560,84852635,-82.350844,29.630393
561,84852637,-82.351084,29.630377
562,84852655,-82.355651,29.63037
563,84852656,-82.355746,29.630386
564,84852657,-82.355793,29.630403
565,84852659,-82.355818,29.630426
566,84853054,-82.373339,29.635142
567,84853055,-82.373982,29.635145
568,84853278,-82.342673,29.6531137
569,84853280,-82.3426587,29.6535412
570,84853281,-82.3426713,29.6540227
571,84853283,-82.3426865,29.6545318
572,84853285,-82.3426899,29.6549438
573,84853927,-82.3693004,29.6384008
574,84853929,-82.3692965,29.6397791
575,84853931,-82.3693042,29.6409704
576,84853933,-82.3693024,29.6422478
577,84855267,-82.3335185,29.6473754
578,84855268,-82.3336746,29.6474708
579,84855269,-82.3337817,29.6475252
580,84855271,-82.333942,29.64756
581,84855272,-82.334174,29.647574
582,84855273,-82.335037,29.647573
583,84855277,-82.3371086,29.6475828
584,84855282,-82.3383468,29.6475602
585,84855824,-82.358474,29.651562
586,84855827,-82.3584246,29.6511021
587,84855830,-82.3583503,29.6503659
588,84856466,-82.3417889,29.6535333
589,84856468,-82.3421383,29.6535321
590,84856476,-82.3432322,29.653545
591,84856614,-82.3729338,29.6284417
592,84856616,-82.373191,29.6284339
593,84856617,-82.3734586,29.6284114
594,84856618,-82.3739168,29.6283521
595,84857067,-82.3369793,29.6401874
596,84857071,-82.3393186,29.640159
597,84859064,-82.351399,29.635702
598,84859066,-82.351313,29.635279
599,84859069,-82.3511539,29.6339082
600,84859072,-82.350963,29.632511
601,84859079,-82.350721,29.630848
602,84859080,-82.350686,29.630583
603,84860129,-82.3434268,29.6336372
604,84860131,-82.343669,29.633622
605,84860132,-82.343815,29.633578
606,84860134,-82.343993,29.633566
607,84860137,-82.3441745,29.6336348
608,84860138,-82.3442127,29.6337273
609,84860139,-82.3441499,29.6341602
610,84860140,-82.3441618,29.6342331
611,84860141,-82.344037,29.634331
612,84860142,-82.3437301,29.6343051
613,84860144,-82.3436321,29.6342471
614,84860146,-82.3435331,29.6342174
615,84860147,-82.3433568,29.6342086
616,84862117,-82.359441,29.653347
617,84862118,-82.359436,29.653693
618,84862120,-82.359425,29.653718
619,84862121,-82.359298,29.653737
620,84862122,-82.359196,29.653805
621,84862123,-82.359133,29.653876
622,84862124,-82.359117,29.653961
623,84862125,-82.35914,29.654068
624,84862126,-82.359189,29.654138
625,84862127,-82.359324,29.654197
626,84862129,-82.359385,29.654242
627,84862130,-82.359415,29.654314
628,84862131,-82.359392,29.655766
629,84863136,-82.341184,29.628674
630,84863137,-82.341231,29.628561
631,84863138,-82.341236,29.628365
632,84863140,-82.341201,29.62786
633,84863141,-82.341163,29.627588
634,84863142,-82.341088,29.627344
635,84863143,-82.340974,29.627071
636,84863145,-82.340918,29.626808
637,84863146,-82.3409,29.626576
638,84863147,-82.340848,29.626295
639,84863148,-82.340808,29.625967
640,84863166,-82.3357744,29.6436832
641,84863169,-82.3371933,29.643673
642,84863175,-82.3385554,29.6436697
643,84863180,-82.3393198,29.6436648
644,84863341,-82.3357695,29.6441768
645,84863346,-82.336758,29.644185
